id,title,original_title,release_date,budget
48340,Sanctum,Sanctum,2/3/2011,30000000
48382,"The Book of Mormon Movie, Volume 1: The Journey","The Book of Mormon Movie, Volume 1: The Journey",9/12/2003,2000000
48415,Welcome to the South,Benvenuti al sud,10/1/2010,4000000
48737,The Maidens' Conspiracy,Tirant lo Blanc,3/30/2006,19600000
48761,Catch That Girl,Klatretøsen,1/25/2002,2600000
48784,Six Men Getting Sick,Six Men Getting Sick,1/1/1967,200
49012,Arthur,Arthur,4/8/2011,40000000
49014,Cosmopolis,Cosmopolis,5/25/2012,20500000
49018,Insidious,Insidious,9/13/2010,1500000
49029,Saamy,Saamy,5/5/2003,1
49035,Alaipayuthey,அலைபாயுதே,4/14/2000,2000000
49049,Dredd,Dredd,9/7/2012,50000000
49081,The Rocket: The Legend of Rocket Richard,Maurice Richard,10/25/2005,8000000
49160,The Time Travelers,The Time Travelers,10/29/1964,250000
49220,Zozo,Zozo,8/5/2005,5600000
49235,Squeeze,Squeeze,6/6/1997,500000
49250,Drones,Drones,1/23/2010,500000
49347,Needle,Needle,6/4/2010,3500000
49370,Perfect,Perfect,6/7/1985,19000000
49524,R.I.P.D.,R.I.P.D.,7/18/2013,130000000
49538,X-Men: First Class,X-Men: First Class,5/24/2011,160000000
49594,Snowblind,Snowblind,11/11/2010,300000
49600,The Last Movie,The Last Movie,9/29/1971,1000000
49633,The King of Kings,The King of Kings,1/1/1927,2500000
49704,Love in Disguise,戀愛通告,8/12/2010,5532496
49729,Les Aiguilles rouges,Les Aiguilles rouges,5/10/2006,7677765
49848,"Little Fish, Strange Pond","Little Fish, Strange Pond",10/23/2009,485000
49991,The Devil At Your Heels,The Devil At Your Heels,3/13/1981,300000
50025,Kolpaçino,Kolpaçino,11/29/2009,2000000
50153,The Man from Planet X,The Man from Planet X,4/27/1951,50000
50346,Kickboxer 4: The Agresor,Kickboxer 4: The Agresor,7/27/1994,400000
50357,Apollo 18,Apollo 18,7/20/2011,5000000
50400,Mission London,Мисия Лондон,4/16/2010,1850000
50530,The New Year's Rate Plan,Tarif Novogodniy,12/4/2008,3200000
50587,Too Young to Marry,Too Young to Marry,7/9/2007,2
50619,The Twilight Saga: Breaking Dawn - Part 1,The Twilight Saga: Breaking Dawn - Part 1,3/15/2011,110000000
50620,The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: Breaking Dawn - Part 2,11/13/2012,120000000
50646,"Crazy, Stupid, Love.","Crazy, Stupid, Love.",7/29/2011,50000000
50673,Life in Flight,Life in Flight,9/12/2008,2000000
50719,"Silent Night, Deadly Night II","Silent Night, Deadly Night Part 2",4/10/1987,250000
50848,The Names of Love,Le Nom des gens,11/24/2010,4600000
51017,Madea's Big Happy Family,Madea's Big Happy Family,4/22/2011,25000000
51021,Lure: Teen Fight Club,Lure: Teen Fight Club,11/16/2010,3000000
51022,The Wounds,Rane,5/27/1998,10000
51090,With Love... from the Age of Reason,L'Âge de raison,7/28/2010,8000000
51190,Run Sister Run!,Sisko tahtoisin jäädä,10/12/2010,1552334
51200,71: Into the Fire,포화 속으로,6/16/2010,10400000
51250,Gun,Gun,6/10/2010,10000000
51267,Out Of Order,Na Izmene,6/6/2010,2200000
51284,Morphine,Морфий,11/27/2008,3600000
51300,The Barber of Siberia,Сибирский цирюльник,10/13/1998,35000000
51423,Beyond,Svinalängorna,12/10/2010,3000000
51515,At Play in the Fields of the Lord,At Play in the Fields of the Lord,12/6/1991,36000000
51522,I Need That Record,I Need That Record,5/3/2008,10
51588,Prom,Prom,4/29/2011,8000000
51794,Five Minarets in New York,Five Minarets in New York,3/9/2010,12000000
51800,The Dolphin: Story of a Dreamer,The Dolphin Story of a Dreamer,10/8/2009,3000000
51917,A Whole Life Ahead,Tutta la vita davanti,3/28/2008,5940000
51929,The Emperor's Naked Army Marches On,ゆきゆきて、神軍,8/1/1987,222000
51935,House of Boys,House of Boys,11/20/2009,2500000
51946,Bittersweet,Bittersweet,7/23/2008,50000
52011,The Thirteen Assassins,十三人の刺客,12/7/1963,6
52036,The Company,The Company,9/10/2003,15000000
52044,Insane,Insane,2/9/2010,750000
52105,Husbands,Husbands,12/8/1970,1000000
52256,1612: Chronicles of the Dark Time,1612: Хроники смутного времени,10/28/2007,12000000
52406,Fresh,Fresh,5/26/2009,412000
52473,Allegro,Allegro,9/30/2005,1500000
52685,Chill,Chill,2/15/2007,850000
52788,Sisters,Sisters,11/10/2006,60000
52803,Sebastian's Voodoo,Sebastian's Voodoo,6/7/2008,2000
52891,Hitler's Kaput!,Gitler kaput!,9/18/2008,3000000
52903,Steam of Life,Miesten vuoro,3/26/2010,580000
52939,Tri bogatyrya i Shamakhanskaya tsaritsa,Три богатыря и Шамаханская царица,12/29/2010,3000000
53010,La Chance de ma vie,La Chance de ma vie,1/5/2011,5000000
53035,Kevorkian,Kevorkian,6/28/2010,2500000
53080,Malibu Shark Attack,Malibu Shark Attack,7/25/2009,3000000
53157,The Park is Mine,The Park is Mine,10/6/1985,4500000
53174,Kokowaah,Kokowääh,2/2/2011,5650000
53178,The Cat's Out,The Cat's Out,7/28/1931,11087
53287,The Super,The Super,10/4/1991,22000000
53319,What a Beautiful Day,Che bella giornata,1/5/2011,6000000
53459,F,F,9/7/2010,1300000
53565,Steamboat Willie,Steamboat Willie,11/18/1928,4986
53774,The Sinking of the Laconia,The Sinking of the Laconia,1/6/2011,18550417
53906,Jet Pilot,Jet Pilot,10/11/1957,9000000
54000,Fedora,Fedora,5/30/1978,6727000
54022,Search and Destroy,Search and Destroy,1/1/1995,4000000
54144,Abel,Abel,5/28/2010,1000000
54242,Mickey,Mickey,8/1/1918,250000
54313,I Am Self-Sufficient,Io sono un autarchico,12/14/1976,1000
54315,The Stranger in Me,Das Fremde in mir,10/16/2008,500000
54320,Love,Love,2/2/2011,500000
54380,Captains of April,Capitães de Abril,4/21/2000,6105121
54407,Bliss,Bliss,10/4/1985,3400000
54474,The Star,Zvezda,5/6/2002,1300000
54509,The Flying Mouse,The Flying Mouse,7/14/1934,31386
54524,The Robber,Der Räuber,2/14/2010,3900000
54527,Into Eternity,Into Eternity,11/12/2010,900000
54627,Azzurro,Azzurro,8/12/2000,3100000
54821,Adam,Adam,10/5/1992,500000
54838,Robinson in Space,Robinson in Space,1/10/1997,700000
54894,Modify,Modify,1/1/2005,500000
54900,Gitmek: My Marlon and Brando,Gitmek: Benim Marlon ve Brandom,4/25/2008,500000
54911,The Amazing Truth About Queen Raquela,The Amazing Truth About Queen Raquela,3/7/2008,400000
54934,Swoon,Swoon,9/11/1992,250000
55011,Morlang,Morlang,11/22/2001,500000
55045,Psych:9,Psych:9,5/7/2010,5000000
55049,Three Lives and Only One Death,Trois vies et une seule mort,5/15/1996,500000
55069,The Delivery,The Delivery,9/16/1999,500000
55149,84C MoPic,84C MoPic,3/22/1989,500000
55256,The River,Joki,9/14/2001,1000000
55257,Juha,Juha,2/25/1999,1000000
55347,Beginners,Beginners,9/11/2010,3200000
55500,The Land of Happiness,Onnen maa,4/30/1993,400000
55547,Route 666,Route 666,10/30/2001,2300000
55616,Dracula: Pages from a Virgin's Diary,Dracula: Pages from a Virgin's Diary,2/28/2002,1596010
55720,A Better Life,A Better Life,6/24/2011,10000000
55741,Sacrifice,Sacrifice,12/17/2010,10000000
